food;wine;Merchandise;Artikel;WGR;WGR_TEXT;Bontext_German;Bontext_English;origin_country_code;origin_country_ISOCODE;origin_country_tarif_no;purchase_price;sale_price;quantity;Artikelgewicht;Positionsgewicht;0;ean;pwert_end;3;4õûÕÛ
NO;NO;NO;10200803;1;Sortiment;BLACK & WHITE Rahmen MMMM;BLACK & WHITE frame MMMM;720;CN;44140090;1,04;4,99;12;0,38;4,56;;4035644974314;12,48;;
NO;NO;NO;10200804;1;Sortiment;BLACK & WHITE Rahmen Do what you love;Black & White frame Do what you love;720;CN;44140090;1,04;4,99;12;0,38;4,56;;4035644974321;12,48;;
NO;NO;NO;10200805;1;Sortiment;BLACK & WHITE Rahmen Sign;BLACK & WHITE frame Sign;720;CN;44140090;1,04;4,99;12;0,38;4,56;;4035644974338;12,48;;
NO;NO;NO;10200806;1;Sortiment;BLACK & WHITE Rahmen Darling;Black & White frame Darling;720;CN;44140090;1,04;4,99;12;0,38;4,56;;4035644974345;12,48;;
NO;NO;NO;10200827;1;Sortiment;BLACK & WHITE Kaffeetasse große Punkte;BLACK & WHITE mug dots big;701;MY;69111000;1,38;4,99;24;0,3;7,2;;4035644973881;33,12;;
NO;NO;NO;10200828;1;Sortiment;BLACK & WHITE Kaffeetasse schm. Streifen;BLACK & WHITE mug stripes slender;701;MY;69111000;1,38;4,99;24;0,3;7,2;;4035644973898;33,12;;
NO;NO;NO;10200829;1;Sortiment;BLACK & WHITE Kaffeetasse kleine Punkte;BLACK & WHITE mug dots small;701;MY;69111000;1,38;4,99;24;0,3;7,2;;4035644973904;33,12;;
NO;NO;NO;10200830;1;Sortiment;BLACK & WHITE Kaffeetasse große Streifen;BLACK & WHITE mug stripes wide;701;MY;69111000;1,38;4,99;24;0,3;7,2;;4035644973911;33,12;;
NO;NO;NO;10200831;1;Sortiment;BLACK & WHITE Espressotasse große Punkte;BLACK & WHITE espresso mug dots big;720;CN;69111000;0,53;3,49;30;0,1;3;;4035644973928;15,9;;
NO;NO;NO;10200832;1;Sortiment;BLACK & WHITE Espressotasse schm.Streife;BLACK & WHITE espresso mug stripes slend;720;CN;69111000;0,53;3,49;30;0,1;3;;4035644973935;15,9;;
NO;NO;NO;10200833;1;Sortiment;BLACK & WHITE Espressotasse kline Punkte;BLACK & WHITE espresso mug dots small;720;CN;69111000;0,53;3,49;30;0,1;3;;4035644973942;15,9;;
NO;NO;NO;10200834;1;Sortiment;BLACK & WHITE Espressotasse große Streif;BLACK & WHITE espresso mug stripes wide;720;CN;69111000;0,53;3,49;30;0,1;3;;4035644973959;15,9;;
NO;NO;NO;10200835;1;Sortiment;BLACK & WHITE Untertasse Espresso schwar;BLACK & WHITE saucer espresso black;720;CN;69111000;0,5;1,49;30;0,13;3,9;;4035644976189;15;;
NO;NO;NO;10200836;1;Sortiment;BLACK & WHITE Untertasse Espresso weiß;BLACK & WHITE saucer espresso white;720;CN;69111000;0,44;1,49;30;0,13;3,9;;4035644976196;13,2;;
NO;NO;NO;10200837;1;Sortiment;BLACK & WHITE Teller Streifen;BLACK & WHITE plate stripes;720;CN;69111000;0,68;4,99;30;0,4;12;;4035644973966;20,4;;
NO;NO;NO;10200838;1;Sortiment;BLACK & WHITE Teller Querstreifen;BLACK & WHITE plate cross stripes;720;CN;69111000;0,68;4,99;30;0,4;12;;4035644973973;20,4;;
NO;NO;NO;10200849;1;Sortiment;APR?S Papierserviette große Punkte;APR?S Paper napkin Dots large bl/wh;4;DE;99999999;0,42;2,99;12;0,14;1,68;;4035644974215;5,04;;
NO;NO;NO;10200850;1;Sortiment;APR?S Papierserviette Punkte klein;APR?S Paper napkin Dots small bl/wh;4;DE;48183000;0,42;2,99;12;0,14;1,68;;4035644974222;5,04;;
NO;NO;NO;10200851;1;Sortiment;APR?S Papierserviette Streifen schw/weiß;APR?S Paper napkin Stripes bl/wh;4;DE;48183000;0,42;2,99;12;0,14;1,68;;4035644974239;5,04;;
NO;NO;NO;10200852;1;Sortiment;APR?S Papierserviette Hahnentritt schw/w;APR?S Paper napkin Houndstooth bl/wh;4;DE;48183000;0,42;2,99;12;0,14;1,68;;4035644974246;5,04;;
NO;NO;NO;10200853;1;Sortiment;BLACK & WHITE Papiertrinkhalme (50St.);BLACK & WHITE Paper drinking straws (50p;720;CN;48189090;1,29;4,99;24;0,16;3,84;;4035644974253;30,96;;
NO;NO;NO;10201030;3;Möbel;MODERN ARTIST Kommode mit 2 Türen und 3;MODERN ARTIST Chest w/ 2 doors and 3 dra;66;RO;94036010;114,68;399;1;23;23;;4035644978985;114,68;;
NO;NO;NO;10201119;3;Möbel;HIGH NOON Stuhl anthrazit;HIGH NOON Dining Chair grey;60;PL;94016100;26,93;89;2;8,5;17;;4035644979876;53,86;;
NO;NO;NO;10201503;3;Möbel;MITCHELL Stuhl braun, vintage;MITCHELL Chair vintage brown;60;PL;94016100;18,42;69;2;8,5;17;;4035644983200;36,84;;
NO;NO;NO;10201503;3;Möbel;MITCHELL Stuhl braun, vintage;MITCHELL Chair vintage brown;60;PL;94016100;18,42;69;2;8,5;17;;4035644983200;36,84;;
NO;NO;NO;50015757;1;Sortiment;ESPERTO Kaffeebereiter 1 Tasse;ESPERTO Espresso Machine 1 cup;5;IT;76151990;2,92;7,99;6;0,25;1,5;;4035644870692;17,52;;
NO;NO;NO;50015771;1;Sortiment;ESPERTO Kaffeebereiter 3 Tassen;ESPERTO Espresso Machine 3 cup;5;IT;76151990;3,45;9,99;6;0,39;2,34;;4035644870708;20,7;;
NO;NO;NO;50015788;1;Sortiment;ESPERTO Kaffeebereiter 6 Tassen;ESPERTO Espresso Machine 6 cup;5;IT;76151990;4,26;12,9;6;0,55;3,3;;4035644870715;25,56;;
NO;NO;NO;50044917;1;Sortiment;COOL DOWN Eiswürfelbereiter Pinguin;COOL DOWN IceCube Tray Penguin;4;DE;39241000;0,83;2,99;6;0,07;0,42;;4035644845379;4,98;;
NO;NO;YES;99990003;11;Verbrauchsmaterial;Papiertasche gross;Paper bag big;4;DE;48194000;19,97;0;3;10;30;;4035644977230;59,91;;
NO;NO;NO;99990071;99999;Paletten;Euro Paletten;euro pallets;4;DE;44152020;7;0;4;24;96;;4035644977629;28;;
