food;wine;Merchandise;Artikel;WGR;WGR_TEXT;Bontext_German;Bontext_English;origin_country_code;origin_country_ISOCODE;origin_country_tarif_no;purchase_price;sale_price;quantity;Artikelgewicht;Positionsgewicht;0;ean;pwert_end;3;4õûÕÛ
NO;NO;NO;10128886;2;Textilien;PACK & RIDE Reisetasche;PACK & RIDE travelbag large 59x20x47cm;720;CN;42029211;7,94;19,9;10;3;30;;4035644833215;79,4;;
NO;NO;NO;10135600;1;Sortiment;CAMPAGNE Teekiste 3 Fächer;CAMPAGNE teabox 3 compartments;720;CN;44209099;1,59;9,99;8;0,31;2,48;;4035644814368;12,72;;
NO;NO;NO;10135648;1;Sortiment;CAMPAGNE Bilderrahmen+Tafel+Spiegel;CAMPAGNE pictureframe+board+mirror;720;CN;96100000;3,5;19,9;8;1,89;15,12;;4035644814405;28;;
NO;NO;NO;10137468;1;Sortiment;PURO Platte 18,7 x 14 cm;PURO platter 18,7x14cm;720;CN;69111000;0,65;3,99;6;0,4;2,4;;4035644816119;3,9;;
NO;NO;NO;10137482;1;Sortiment;PURO Milchkännchen;PURO milk jug;720;CN;69111000;0,2;1,99;6;0,09;0,54;;4035644816133;1,2;;
NO;NO;NO;10144589;1;Sortiment;MEMORIES Bilderrahmen matt 10x15cm;MEMORIES picture frame matt 10x15cm;720;CN;83063000;0,97;5,99;10;0,18;1,8;;4035644820956;9,7;;
NO;NO;NO;10146903;1;Sortiment;MRS. WINTERBOTTOM'S Süßigkeitendose;MRS. WINTERBOTTOM'S storage jar Sweets;720;CN;69120030;5,54;24,9;2;2,8;5,6;;4035644822622;11,08;;
NO;NO;NO;10149041;1;Sortiment;LOVE LETTERS Kerze Happy Birthday bunt;LOVE LETTERS candle Happy Birthday mul.c;720;CN;34060000;1,79;6,99;12;0,34;4,08;;4035644823216;21,48;;
NO;NO;NO;10150047;1;Sortiment;BRIGHTON Utensilienbecher;BRIGHTON Implements holder;720;CN;69111000;0,39;4,99;12;0,46;5,52;;4035644823605;4,68;;
NO;NO;NO;10153741;1;Sortiment;CAMPAGNE Box mit Glasdeckel This & That;CAMPAGNE Box This & That 30x30x9cm;720;CN;44209099;4,42;16,9;6;2,67;16,02;;4035644827757;26,52;;
NO;NO;NO;10160992;2;Textilien;SOFT SOLUTION Korb weiss 15x15x15;SOFT SOLUTION Basket white 15x15x15;690;VN;63079010;1,18;4,99;10;0,2;2;;4035644834250;11,8;;
NO;NO;NO;10161067;2;Textilien;SOFT SOLUTION Korb weiß ?15xH16,5;SOFT SOLUTION Basket white ?15xH16,5;690;VN;63079010;0,9;4,99;10;0,18;1,8;;4035644834311;9;;
NO;NO;NO;10161548;1;Sortiment;MISS SOPHIE Etagere 3 Ebenen;MISS SOPHIE Etagere 3 plates;664;IN;73239300;7,08;29,9;2;1,4;2,8;;4035644834793;14,16;;
NO;NO;NO;10163726;1;Sortiment;CLEARANCE Seifenspender + Pumpe;CLEARANCE soap dispenser;736;TW;84798997;2,36;8,99;6;0,17;1,02;;4035644833987;14,16;;
NO;NO;NO;10171448;1;Sortiment;CON GUSTO Essig-/Öl-Ménage;CON GUSTO Oil-/Vinegar cruet set;720;CN;69111000;3,18;19,9;6;1;6;;4035644842354;19,08;;
NO;NO;NO;10172339;1;Sortiment;EATON PLACE Essteller, ? 27,5 cm, weiß;EATON PLACE Dinner plate 27,5cm;10;PT;69120050;1,28;4,99;12;0,58;6,96;;4035644843344;15,36;;
NO;NO;NO;10172353;1;Sortiment;EATON PLACE Suppenteller, ? 23,5cm, weiß;EATON PLACE Soup plate 23,5cm;10;PT;69120050;1,28;3,99;12;0,54;6,48;;4035644843368;15,36;;
NO;NO;NO;10172384;1;Sortiment;EATON PLACE Schale, ?14 cm, weiß;EATON PLACE bowl ?14cm;10;PT;69120050;1,06;3,99;6;0,34;2,04;;4035644843399;6,36;;
NO;NO;NO;10172391;1;Sortiment;EATON PLACE Salatschale ?24cm;EATON PLACE Salad bowl ?24cm;10;PT;69120050;2,18;12,9;4;1,1;4,4;;4035644843405;8,72;;
NO;NO;NO;10172407;1;Sortiment;EATON PLACE Servierplatte 35cm;EATON PLACE Serving plate 35cm;10;PT;69120050;3,28;9,99;4;0,85;3,4;;4035644843412;13,12;;
NO;NO;NO;10174203;1;Sortiment;SUCRERIES Aufbewahrungsglas H21 ?19cm;SUCRERIES Storage jar ?21, ?9cm;60;PL;70134999;5,27;16,9;1;1,85;1,85;;4035644844273;5,27;;
NO;NO;NO;10176474;2;Textilien;ADIEU TRISTESSE Tischläufer hellblau;ADIEU TRISTESSE Tabler.po.l'bl;664;IN;63025100;2,76;4,99;6;0,25;1,5;;4035644846796;16,56;;
NO;NO;NO;10176528;2;Textilien;ADIEU TRISTESSE TD grau 90x90;ADIEU TRISTESSE TC grey 90x90;664;IN;63025100;1,57;14,9;4;0,23;0,92;;4035644846840;6,28;;
NO;NO;NO;10176993;2;Textilien;ADIEU TRISTESSE Küchentuch h'blau 50x70;ADIEU TRISTESSE Kitchent.l'blu;664;IN;63029100;0,63;2,99;10;0,1;1;;4035644847328;6,3;;
NO;NO;NO;10178706;1;Sortiment;CAMPAGNE Bilderrahmen Herz 10x15cm;CAMPAGNE picture frame heart 10x15cm;720;CN;44140090;0,48;3,99;6;0,15;0,9;;4035644848813;2,88;;
NO;NO;NO;10178720;1;Sortiment;CAMPAGNE Anhänger blau 13x17cm;CAMPAGNE ornament blue 13x17cm;720;CN;44201019;0,64;4,99;6;0,47;2,82;;4035644848837;3,84;;
NO;NO;NO;10178737;1;Sortiment;"CAMPAGNE Türhänger ""Do not disturb""";CAMPAGNE ornament Do not disturb 13x17cm;720;CN;44201019;0,61;4,99;6;0,47;2,82;;4035644848844;3,66;;
NO;NO;NO;10178751;1;Sortiment;"CAMPAGNE Teedose""The World's finest tea""";"CAMPAGNE Tea box ""The World's finest tea";720;CN;44190090;3,1;14,9;12;1,41;16,92;;4035644848868;37,2;;
NO;NO;NO;10182185;2;Textilien;ADIEU TRISTESSE Ofenhandschuh rot;ADIEU TRISTESSE Ovenmit Stripes red;664;IN;63026000;1,08;3,99;6;0,07;0,42;;4035644851493;6,48;;
NO;NO;NO;10182253;2;Textilien;ADIEU TRISTESSE Schürze blau;ADIEU TRISTESSE Apron Stripe blue;664;IN;62114210;2,65;14,9;4;0,25;1;;4035644851486;10,6;;
NO;NO;NO;10184721;1;Sortiment;REFILL Glasflasche H33,5cm 1,3l;REFILL Glass bottle H33,5cm 1,3l;720;CN;70139900;2,79;9,99;6;0,46;2,76;;4035644852636;16,74;;
NO;NO;NO;10188177;1;Sortiment;EMERGENCY ROOM Arzneimittel-Dose;EMERGENCY ROOM pharmaceutical case;720;CN;73269098;1,29;9,99;12;0,27;3,24;;4035644862864;15,48;;
NO;NO;NO;10188554;1;Sortiment;OPEN Möbelknopf Ornament rot;OPEN furniture knob ornament red;664;IN;69149000;0,34;2,99;10;0,09;0,9;;4035644865216;3,4;;
NO;NO;NO;10188756;1;Sortiment;"PURO Porzellan-Teller ""Pappoptik""";PURO Plate 22x14cm;720;CN;69111000;0,65;2,99;6;0,34;2,04;;4035644866084;3,9;;
NO;NO;NO;10188761;1;Sortiment;PURO Knickbecher, ? 8cm, H 11 cm, 100 ml;PURO dented mug ?8cm, H11cm, 100ml;720;CN;69111000;0,38;2,49;18;0,28;5,04;;4035644866138;6,84;;
NO;NO;NO;10188762;1;Sortiment;PURO Knickbecher ? 7 cm,  7 cm;PURO dented mug ?7cm, H7cm;720;CN;69111000;0,3;1,99;24;0,13;3,12;;4035644866145;7,2;;
NO;NO;NO;10189043;1;Sortiment;BREAD N`BUTTER Frühstücksbrettchen;BREAD N`BUTTER breakfast board Bread Pi;4;DE;39241000;1,23;4,99;5;0,1;0,5;;4035644869368;6,15;;
